index,main_source_wheat_asking_for_help_from_others,main_source_wheat_bought_on_credit,main_source_wheat_bought_through_battering,main_source_wheat_bought_using_cash,main_source_wheat_fishing__hunting__gathering,main_source_wheat_food_assistance_government__charity,main_source_wheat_from_employer,main_source_wheat_gifts_friends__neighbours__relatives,main_source_wheat_other_specify,main_source_wheat_own_production_garden__livestock,main_source_wheat_received_as_in-kind_payment,main_source_other_asking_for_help_from_others,main_source_other_bought_on_credit,main_source_other_bought_through_battering,main_source_other_bought_using_cash,main_source_other_fishing__hunting__gathering,main_source_other_food_assistance_government__charity,main_source_other_from_employer,main_source_other_gifts_friends__neighbours__relatives,main_source_other_other_specify,main_source_other_own_production_garden__livestock,main_source_other_received_as_in-kind_payment,main_source_rice_asking_for_help_from_others,main_source_rice_bought_on_credit,main_source_rice_bought_through_battering,main_source_rice_bought_using_cash,main_source_rice_fishing__hunting__gathering,main_source_rice_food_assistance_government__charity,main_source_rice_from_employer,main_source_rice_gifts_friends__neighbours__relatives,main_source_rice_other_specify,main_source_rice_own_production_garden__livestock,main_source_rice_received_as_in-kind_payment,main_source_oil_asking_for_help_from_others,main_source_oil_bought_on_credit,main_source_oil_bought_through_battering,main_source_oil_bought_using_cash,main_source_oil_fishing__hunting__gathering,main_source_oil_food_assistance_government__charity,main_source_oil_from_employer,main_source_oil_gifts_friends__neighbours__relatives,main_source_oil_other_specify,main_source_oil_own_production_garden__livestock,main_source_oil_received_as_in-kind_payment
,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
0-18,0.0,0.0,0.0,0.5625,0.0,0.0,0.0625,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.1,0.13333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.03333333333333333,0.0,0.0,0.0,0.8461538461538461,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.5454545454545454,0.0,0.0,0.13636363636363635,0.3181818181818182,0.0,0.0,0.0
18-59,0.0007499062617172854,0.00843644544431946,0.00018747656542932134,0.9010123734533183,0.0003749531308586427,0.0009373828271466067,0.020059992500937384,0.029058867641544806,0.0011248593925759281,0.0359955005624297,0.0020622422197225346,0.005532503457814661,0.017365913631473797,0.0015368065160596281,0.723221146457661,0.0010757645612417396,0.06608268019056401,0.023205778392500383,0.043952666359305365,0.0015368065160596281,0.11187951436914093,0.004610419548178884,0.0014943960149439602,0.01046077210460772,0.0,0.9402241594022416,0.00049813200498132,0.0037359900373599006,0.015193026151930262,0.025653798256537984,0.0012453300124533001,0.00024906600249066,0.0012453300124533001,0.004085480829666876,0.01508485229415462,0.0009428032683846638,0.923318667504714,0.001257071024512885,0.0009428032683846638,0.018856065367693273,0.02294154619736015,0.0007856693903205531,0.010370835952231301,0.0014142049025769956
60+,0.0007358351729212656,0.002207505518763797,0.0007358351729212656,0.8719646799116998,0.0,0.002207505518763797,0.003679175864606328,0.059602649006622516,0.0014716703458425313,0.05518763796909492,0.002207505518763797,0.0021164021164021165,0.010052910052910053,0.003703703703703704,0.5603174603174603,0.0031746031746031746,0.10687830687830688,0.004761904761904762,0.02328042328042328,0.0010582010582010583,0.2830687830687831,0.0015873015873015873,0.0,0.004545454545454545,0.0011363636363636363,0.9181818181818182,0.0,0.006818181818181818,0.0022727272727272726,0.06363636363636363,0.0011363636363636363,0.0011363636363636363,0.0011363636363636363,0.0016939582156973462,0.007340485601355167,0.0016939582156973462,0.935064935064935,0.001129305477131564,0.000564652738565782,0.0033879164313946925,0.03500846979107849,0.0,0.012987012987012988,0.001129305477131564
No formal education,0.0035211267605633804,0.012910798122065728,0.0,0.8145539906103286,0.0,0.008215962441314555,0.02464788732394366,0.07981220657276995,0.002347417840375587,0.04929577464788732,0.004694835680751174,0.007826610475617099,0.027092113184828417,0.0030102347983142685,0.5617098133654425,0.0012040939193257074,0.13726670680313063,0.03732691149909693,0.034918723660445516,0.0006020469596628537,0.18543046357615894,0.003612281757977122,0.005905511811023622,0.017716535433070866,0.0,0.8582677165354331,0.0,0.013779527559055118,0.017716535433070866,0.07874015748031496,0.001968503937007874,0.001968503937007874,0.003937007874015748,0.007473841554559043,0.02466367713004484,0.0007473841554559044,0.8632286995515696,0.0014947683109118087,0.0014947683109118087,0.033632286995515695,0.043348281016442454,0.0,0.021674140508221227,0.002242152466367713
Not stated,0.0,0.0,0.0,0.9642857142857143,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.4791666666666667,0.0,0.0,0.0,0.0625,0.0,0.4583333333333333,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Primary,0.000649772579597141,0.012345679012345678,0.000649772579597141,0.8310591293047433,0.001299545159194282,0.000649772579597141,0.024041585445094216,0.05912930474333983,0.001299545159194282,0.06692657569850552,0.001949317738791423,0.006794055201698514,0.02505307855626327,0.0029723991507431,0.5978768577494692,0.0029723991507431,0.09554140127388536,0.02335456475583864,0.03906581740976645,0.0016985138004246285,0.19830148619957538,0.006369426751592357,0.0009765625,0.01953125,0.0,0.88671875,0.0,0.0078125,0.0205078125,0.05859375,0.0029296875,0.0,0.0029296875,0.003291020216267043,0.023977433004231313,0.0028208744710860366,0.8918664786083685,0.0028208744710860366,0.0018805829807240243,0.018805829807240243,0.037611659614480486,0.0018805829807240243,0.013634226610249177,0.0014104372355430183
Secondary,0.00031269543464665416,0.0040650406504065045,0.0,0.9230769230769231,0.0,0.0,0.014071294559099437,0.021575984990619138,0.0012507817385866166,0.033458411507192,0.002188868042526579,0.002631578947368421,0.007894736842105263,0.0011695906432748538,0.7678362573099415,0.0011695906432748538,0.04883040935672515,0.012573099415204679,0.037719298245614034,0.0011695906432748538,0.1154970760233918,0.0035087719298245615,0.0008193363375665711,0.005325686194182712,0.0,0.956984842277755,0.0008193363375665711,0.0024580090126997134,0.010241704219582138,0.021712412945514133,0.0008193363375665711,0.00040966816878328555,0.00040966816878328555,0.003355704697986577,0.005313199105145414,0.0005592841163310962,0.9527404921700223,0.0002796420581655481,0.0002796420581655481,0.010626398210290829,0.01761744966442953,0.0002796420581655481,0.007550335570469799,0.0013982102908277406
Tertiary,0.0,0.004711425206124852,0.001177856301531213,0.9599528857479388,0.0,0.0,0.01060070671378092,0.007067137809187279,0.0,0.016489988221436984,0.0,0.0013774104683195593,0.0013774104683195593,0.0013774104683195593,0.8443526170798898,0.0,0.012396694214876033,0.004132231404958678,0.05096418732782369,0.0027548209366391185,0.081267217630854,0.0,0.0,0.005641748942172073,0.0014104372355430183,0.9788434414668548,0.0,0.0,0.009873060648801129,0.004231311706629055,0.0,0.0,0.0,0.0,0.006038647342995169,0.0,0.9794685990338164,0.0012077294685990338,0.0,0.007246376811594203,0.0024154589371980675,0.0,0.0036231884057971015,0.0
1,0.004273504273504274,0.021367521367521368,0.0,0.782051282051282,0.0,0.008547008547008548,0.017094017094017096,0.10256410256410256,0.004273504273504274,0.05982905982905983,0.0,0.022653721682847898,0.021035598705501618,0.009708737864077669,0.6035598705501618,0.0,0.16181229773462782,0.022653721682847898,0.05177993527508091,0.0016181229773462784,0.09061488673139159,0.014563106796116505,0.015748031496062992,0.015748031496062992,0.0,0.8503937007874016,0.0,0.031496062992125984,0.007874015748031496,0.07086614173228346,0.007874015748031496,0.0,0.0,0.01873536299765808,0.01639344262295082,0.00234192037470726,0.8688524590163934,0.00936768149882904,0.00468384074941452,0.01873536299765808,0.04449648711943794,0.00468384074941452,0.00936768149882904,0.00234192037470726
2,0.0,0.0029069767441860465,0.0,0.8604651162790697,0.0,0.0,0.011627906976744186,0.06395348837209303,0.0029069767441860465,0.055232558139534885,0.0029069767441860465,0.008875739644970414,0.03550295857988166,0.005917159763313609,0.5769230769230769,0.0073964497041420114,0.13165680473372782,0.013313609467455622,0.05029585798816568,0.0014792899408284023,0.16420118343195267,0.004437869822485207,0.0,0.020100502512562814,0.0,0.8693467336683417,0.0,0.010050251256281407,0.005025125628140704,0.09045226130653267,0.005025125628140704,0.0,0.0,0.003552397868561279,0.035523978685612786,0.0017761989342806395,0.8827708703374778,0.003552397868561279,0.0,0.003552397868561279,0.047957371225577264,0.0,0.019538188277087035,0.0017761989342806395
3,0.0,0.011210762331838564,0.0,0.8654708520179372,0.0,0.002242152466367713,0.01569506726457399,0.06502242152466367,0.0,0.03811659192825112,0.002242152466367713,0.010914051841746248,0.023192360163710776,0.002728512960436562,0.5961800818553888,0.002728512960436562,0.11186903137789904,0.013642564802182811,0.03274215552523874,0.002728512960436562,0.1937244201909959,0.009549795361527967,0.003787878787878788,0.015151515151515152,0.0,0.9128787878787878,0.0,0.011363636363636364,0.0,0.05303030303030303,0.003787878787878788,0.0,0.0,0.007656967840735069,0.02450229709035222,0.0,0.8973966309341501,0.0015313935681470138,0.0015313935681470138,0.01225114854517611,0.03522205206738132,0.0015313935681470138,0.018376722817764167,0.0
4,0.0,0.008064516129032258,0.0020161290322580645,0.8487903225806451,0.0020161290322580645,0.0020161290322580645,0.014112903225806451,0.07056451612903226,0.0,0.04838709677419355,0.004032258064516129,0.0040595399188092015,0.017591339648173207,0.0,0.6305818673883626,0.0013531799729364006,0.10554803788903924,0.012178619756427604,0.037889039242219216,0.0013531799729364006,0.18403247631935046,0.005412719891745603,0.003003003003003003,0.006006006006006006,0.0,0.8978978978978979,0.0,0.009009009009009009,0.006006006006006006,0.07507507507507508,0.0,0.0,0.003003003003003003,0.0029542097488921715,0.007385524372230428,0.004431314623338257,0.9202363367799113,0.0029542097488921715,0.0029542097488921715,0.005908419497784343,0.033973412112259974,0.0,0.013293943870014771,0.005908419497784343
5,0.001718213058419244,0.00859106529209622,0.0,0.872852233676976,0.001718213058419244,0.001718213058419244,0.010309278350515464,0.041237113402061855,0.0,0.06013745704467354,0.001718213058419244,0.0,0.014475271411338963,0.0036188178528347406,0.594692400482509,0.0012062726176115801,0.09529553679131483,0.031363088057901084,0.039806996381182146,0.0,0.21592279855247287,0.0036188178528347406,0.0,0.015037593984962405,0.0,0.9197994987468672,0.0,0.007518796992481203,0.015037593984962405,0.040100250626566414,0.0,0.0,0.002506265664160401,0.005263157894736842,0.014473684210526316,0.0,0.9105263157894737,0.0,0.0013157894736842105,0.018421052631578946,0.03289473684210526,0.0,0.015789473684210527,0.0013157894736842105
6,0.0014792899408284023,0.013313609467455622,0.0,0.863905325443787,0.0,0.0,0.01775147928994083,0.04881656804733728,0.004437869822485207,0.04881656804733728,0.0014792899408284023,0.0,0.01627906976744186,0.0,0.6465116279069767,0.002325581395348837,0.08488372093023255,0.019767441860465116,0.044186046511627906,0.0011627906976744186,0.18372093023255814,0.0011627906976744186,0.002197802197802198,0.006593406593406593,0.0,0.9340659340659341,0.0,0.006593406593406593,0.004395604395604396,0.04395604395604396,0.0,0.002197802197802198,0.0,0.0036319612590799033,0.013317191283292978,0.0012106537530266344,0.9176755447941889,0.0,0.0,0.015738498789346248,0.0387409200968523,0.0012106537530266344,0.00847457627118644,0.0
