index,hh_wheat_rice_both,hh_wheat_rice_both,hh_wheat_rice_at_least_one,hh_wheat_rice_neither,hh_source_wheat_rice_not_loc_both,hh_source_wheat_rice_not_loc_at_least_one,hh_source_wheat_rice_not_loc_neither,hh_oil_yn,hh_source_oil_not_loc_yn,hh_maize_prod_cons_yn,hh_mahangu_prod_cons_yn,hh_sorghum_prod_cons_yn,maize_gap,mahangu_gap,sorghum_gap,hh_wheat_other_both,hh_wheat_other_at_least_one,hh_wheat_other_neither
,group_wa9,count,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9
60+,0.3608821281024065,2244,0.320428092918846,0.3186897789787475,0.3183808690783288,0.3246162011999765,0.3570029297216949,0.8147722438733511,0.7717626524610424,0.10149213732262491,0.47374256703608836,0.14663021388308461,150.2861944778082,123.46327033462524,16.967287958829317,0.5042980516491868,0.4358644576054106,0.05983749074540261
No formal education,0.20697698311700105,1905,0.3199314465472803,0.47309157033571864,0.18062260778237374,0.2947513341621753,0.524626058055451,0.7235743016231725,0.6714241554911492,0.0833887379808582,0.33046666249784634,0.09724695124503975,9.202406994253513,125.54068484447511,14.276829847963848,0.3756750817378288,0.5607819640727137,0.0635429541894575
Not stated,0.3412205045847016,55,0.3360918485448966,0.3226876468704017,0.3083774456811918,0.3689349074484064,0.3226876468704017,0.8529508993854231,0.8529508993854231,0.024757892786333148,0.2149025987283126,0.07002593491548842,0.0,42.737324446170604,0.0,0.46355258756266715,0.5186169021192555,0.017830510318077333
Primary,0.3272574321750538,2725,0.33017814232023024,0.34256442550471594,0.29022983200619884,0.3250267953267038,0.38474337266709735,0.7951244664327667,0.7491276087103789,0.08912288042840806,0.35074065649843905,0.10384512400351073,139.26495610374516,105.01481137781275,11.448667304448264,0.4982489374703892,0.4448780667897542,0.05687299573985657
Secondary,0.5396655712966304,4170,0.302147265614341,0.15818716308902864,0.5132443956974823,0.303203051828843,0.18355255247367475,0.8642527371048836,0.8412828039274695,0.04401224367458089,0.13842705112627526,0.04110569073433523,28.076615337432735,122.78816709014257,16.559663193075544,0.6360542139983222,0.32365395637537947,0.04029182962629834
Tertiary,0.7151034166332092,946,0.22077863666375686,0.06411794670303393,0.6951303749862207,0.23628328675846508,0.06858633825531422,0.8692461702689308,0.8649386087478228,0.01898434924826347,0.07551328519999978,0.015360702439921173,16.825548225187923,288.30675454840986,48.68592156643121,0.6866585037863393,0.26955345170301487,0.04378804451064585
1,0.1377235355257383,675,0.284626056345379,0.5776504081288826,0.10741314974770849,0.2721688780377901,0.6204179722145013,0.6460594318732709,0.5902828994295388,0.1091284455196121,0.24658767586105534,0.0560581082038115,14.93324966589627,49.27913301300009,7.142283818531446,0.3118219458219657,0.6389311658063186,0.04924688837171563
2,0.24080261137488745,765,0.3102814665328906,0.4489159220922219,0.21023150132151341,0.29385146515963423,0.49591703351885225,0.7726734868424558,0.7160634303896388,0.09479212820665557,0.32920843214099965,0.09362067474340692,3.9646180325597142,79.11152483408434,17.38501042923165,0.42715776925293647,0.5072220777095311,0.06562015303753231
3,0.26991674333999294,839,0.36665505518083547,0.3634282014791715,0.2434405739010093,0.3510205732995745,0.4055388527994162,0.7996759775335471,0.75400477348596,0.10071004399345405,0.3790336063694516,0.10292662544019819,11.065154877965055,78.27673005104711,8.943053365698699,0.47229541308849843,0.48292329883642093,0.04478128807508061
4,0.3271139750074806,854,0.3346287200768465,0.33825730491567296,0.2793490539880699,0.33912709204822755,0.38152385396370264,0.8001156410759503,0.7511247246686593,0.07541991215459848,0.3286117668277135,0.09455167299839273,7.333150185466028,99.39778458893332,8.104095786739597,0.5007930976614732,0.4523278601334396,0.046879042205087304
5,0.36386707509215016,950,0.3515092831425568,0.284623641765293,0.33545755596896665,0.337748011780883,0.32679443225015037,0.8287271277028684,0.7840838329334479,0.07163744683091784,0.300131907453681,0.09096774981329114,7.469639093417922,116.90333075778032,8.886031431384888,0.5412716410281121,0.42029558681356155,0.038432772158326245
6,0.41470030370829586,1008,0.3390536113682755,0.2462460849234288,0.381479585046458,0.3214612671561649,0.29705914779737724,0.8205168408667113,0.7762871609679715,0.07758524570292896,0.2696519085154884,0.07420510562123321,26.45602990237177,122.73974025644057,13.460131949130796,0.5902893932252703,0.3615119936129794,0.048198613161750434
