Food_item_code_in_Household_Survey_item_cod,Food_item_description_in_Household_Survey_desc,Reference_Food_Composition_Table_FCT,Food_code_in_FCT,Food_Item_Index_Matching_Read_the_text_in_the_comment_of_this_cell,Refuse_factor_refuse,Item_Group_item_grp,Item_Group_diversity_grp,Food_description_in_FCT,Calcium (milligrams) (calcium),Iron (milligrams) (iron),Magnesium (milligrams),Phosphorus (milligrams),Potassium (milligrams),Sodium (milligrams),Zinc (milligrams) (zinc),Copper (milligrams),Vitamin A (micrograms of RAE) (vita_rae),Retinol (micrograms) (retinol),Betacarotene equivalents (micrograms) (betacar),Vitamin D (micrograms),Vitamin E (milligrams),Vitamin B1 (Thiamine) (milligrams) (vit_b1),Vitamin B2 (Riboflavin) (milligrams) (vit_b2),Niacin (milligrams),Vitamin B6 (Pyridoxine) (milligrams) (vit_b6),Folate (micrograms) (folate),Vitamin B12 (Cobalamine) (micrograms) (vit_b12),Vitamin C (Ascorbic Acid) (milligrams) (vit_c),Selenium (micrograms)
1147.01,Eggs,WA_FCT,08_001,A2,0.0,,,"Egg, chicken, raw",56.0,1.8,12,198.0,138,142,1.29,0.07,160,160,5,2,[1.05],0.04,0.46,0.1,0.17,47,0.9,0,
1151.01,Butter,WA_FCT,11_001,B2,0.0,,,"Butter, from cow's milk (without salt)",17.0,0.03,2,21.0,19,16,0.12,0.01,696,675,262,1.1,2.11,0.01,0.03,0.1,Tr,3,0.1,0,
1152.01,Margarine & margarine spreads,WA_FCT,11_006,B2,0.0,,,"Margarine, fortified",3.0,0.1,3,5.0,18,751,0,0.0,819,768,610,0,[9.00],0.01,0.04,0.02,0.01,1,0.1,0.2,
1152.02,Peanut butter,WA_FCT,06_025,C2,0.0,,,"Groundnut, combined varieties, shelled, dried, raw (Ghana)",51.0,[6.2],191,394.0,720,6,2.5,0.85,0,0,0,0,10.09,0.87,0.13,15.3,0.58,109,0,0,
1152.99,"Spreads, other (specify)",WA_FCT,11_001,B2,0.0,,,"Butter, from cow's milk (without salt)",17.0,0.03,2,21.0,19,16,0.12,0.01,696,675,262,1.1,2.11,0.01,0.03,0.1,Tr,3,0.1,0,
1154.02,Olive oil,WA_FCT,11_010,A,0.0,,,Vegetable oil,0.0,0,0,0.0,0,0,0,0.0,Tr,0,Tr,0,39.22,0,0,0,0,0,0,0,
1155.01,Cooking fats,WA_FCT,11_010,,0.0,,,Vegetable oil,0.0,0,0,0.0,0,0,0,0.0,Tr,0,Tr,0,39.22,0,0,0,0,0,0,0,
1155.02,Omaze ongombe,WA_FCT,11_001,,0.0,,,"Butter, from cow's milk (without salt)",17.0,0.03,2,21.0,19,16,0.12,0.01,696,675,262,1.1,2.11,0.01,0.03,0.1,Tr,3,0.1,0,
1161.01,"Citrus fruits (orange, lemon, etc.)",WA_FCT,05_016,,0.27,,,"Orange, raw",31.0,0.2,11,19.0,166,2,0.1,0.05,8,0,90,0,0.28,0.04,0.03,0.2,0.07,33,0,46.8,
1162.01,Bananas,WA_FCT,05_003,,0.36,,,"Banana, white flesh, raw",7.0,0.3,29,24.0,369,2,0.17,0.08,4,0,50,0,0.37,0.04,0.04,0.6,0.34,19,0,10.4,
1163.01,Apples,WA_FCT,05_026,,0.1,,,"Apple, with skin, raw",6.0,0.1,5,11.0,107,1,0.04,0.03,3,0,33,0,[0.18],0.02,0.03,0.1,0.04,3,0,4.6,
1165.04,Mangoes,WA_FCT,05_036,A,0.29,,,"Mango, deep orange flesh",12.0,0.7,9,14.0,157,2,0.1,0.09,393,0,4720,0,1.05,0.09,0.03,0.4,0.13,29,0,65.5,
1166.04,Grapes/ Omandjebere (fresh),WA_FCT,05_035,,0.0,,,"Grapefruit, pulp, raw",20.0,0.3,9,16.0,164,2,0.07,0.05,1,0,18,0,0.25,0.05,0.02,0.2,0.04,12,0,36.1,
1166.05,Guavas,WA_FCT,05_010,,0.22,,,"Guava, fruit, raw",23.0,0.7,13,32.0,270,4,0.32,0.06,35,0,419,0,[0.32],0.05,0.04,1.2,0.14,7,0,261,
1167.01,"Sweet melons, all types",WA_FCT,05_038,,0.54,,,"Melon, honeydew, raw",7.0,0.3,9,16.0,228,27,0.09,0.03,3,0,31,0,0.08,0.03,0.01,0.5,0.07,12,0,14.2,
1167.02,Watermelons,WA_FCT,05_038,,0.54,,,"Melon, honeydew, raw",7.0,0.3,9,16.0,228,27,0.09,0.03,3,0,31,0,0.08,0.03,0.01,0.5,0.07,12,0,14.2,
1167.03,Pineapples,WA_FCT,05_018,,0.49,,,"Pineapple, pulp, raw",20.0,0.5,12,12.0,205,2,0.11,0.2,5,0,61,0,0.1,0.07,0.03,0.2,0.09,12,0,29.8,
1168.01,Eendunga/ Munganda,WA_FCT,06_029,C2,0.0,,,"Palm nut kernel, shelled, raw",91.0,[9.0],232,239.0,270,,2.37,1.49,,0,,0,,,,,,,0,,
1168.02,Oombe (bird plum),WA_FCT,05_019,C2,0.07,,,"Soapberry, fruit, raw",23.0,[3.0],2,90.0,,,,0.05,30,0,360,0,,0.03,0.04,Tr,Tr,,0,51.5,
1168.03,Grapes/ Omandjebere (dry),WA_FCT,05_026,,0.1,,,"Apple, with skin, raw",6.0,0.1,5,11.0,107,1,0.04,0.03,3,0,33,0,[0.18],0.02,0.03,0.1,0.04,3,0,4.6,
1168.04,Omauni,WA_FCT,05_016,,0.27,,,"Orange, raw",31.0,0.2,11,19.0,166,2,0.1,0.05,8,0,90,0,0.28,0.04,0.03,0.2,0.07,33,0,46.8,
