Food_item_code_in_Household_Survey_item_cod,Food_item_description_in_Household_Survey_desc,Reference_Food_Composition_Table_FCT,Food_code_in_FCT,Food_Item_Index_Matching_Read_the_text_in_the_comment_of_this_cell,Refuse_factor_refuse,Item_Group_item_grp,Item_Group_diversity_grp,Food_description_in_FCT,Calcium (milligrams) (calcium),Iron (milligrams) (iron),Magnesium (milligrams),Phosphorus (milligrams),Potassium (milligrams),Sodium (milligrams),Zinc (milligrams) (zinc),Copper (milligrams),Vitamin A (micrograms of RAE) (vita_rae),Retinol (micrograms) (retinol),Betacarotene equivalents (micrograms) (betacar),Vitamin D (micrograms),Vitamin E (milligrams),Vitamin B1 (Thiamine) (milligrams) (vit_b1),Vitamin B2 (Riboflavin) (milligrams) (vit_b2),Niacin (milligrams),Vitamin B6 (Pyridoxine) (milligrams) (vit_b6),Folate (micrograms) (folate),Vitamin B12 (Cobalamine) (micrograms) (vit_b12),Vitamin C (Ascorbic Acid) (milligrams) (vit_c),Selenium (micrograms)
1168.05,Omapea,WA_FCT,05_026,,0.1,,,"Apple, with skin, raw",6.0,0.1,5,11.0,107,1,0.04,0.03,3,0,33,0,[0.18],0.02,0.03,0.1,0.04,3,0,4.6,
1168.08,Ground nuts/ Eefukwa,WA_FCT,06_010,,0.0,,,"Groundnut, shelled, dried, raw",47.0,[3.9],191,359.0,727,6,2.5,0.86,0,0,0,0,10.9,0.87,0.14,15.5,0.59,110,0,0,
1168.09,Omahuku,WA_FCT,06_010,,0.0,,,"Groundnut, shelled, dried, raw",47.0,[3.9],191,359.0,727,6,2.5,0.86,0,0,0,0,10.9,0.87,0.14,15.5,0.59,110,0,0,
1168.1,Peanuts & other snack nuts,WA_FCT,06_010,,0.0,,,"Groundnut, shelled, dried, raw",47.0,[3.9],191,359.0,727,6,2.5,0.86,0,0,0,0,10.9,0.87,0.14,15.5,0.59,110,0,0,
1168.11,Ekwa/ Mubuyu,WA_FCT,05_004,,0.28,,,"Baobab, fruit/Monkey bread, pulp, raw",276.0,[5.5],91,83.0,1020,,3.6,0.7,6,0,70,0,,0.37,0.06,2.1,0.02,,0,247,
1168.14,Eenyandi,WA_FCT,05_019,,0.43,,,"Soapberry, fruit, raw",23.0,[3.0],2,90.0,,,,0.05,30,0,360,0,,0.03,0.04,Tr,Tr,,0,51.5,
1168.22,Dried dates,WA_FCT,05_031,,0.0,,,"Dates, dried",46.0,1.1,45,56.0,669,4,0.36,0.28,1,0,7,0,0.1,0.06,0.08,1.6,0.2,36,0,3,
1171.01,Lettuce,WA_FCT,04_040,,0.3,,,"Lettuce, raw",27.0,0.8,9,28.0,204,10,0.29,0.05,93,0,[1120],0,0.6,0.06,0.15,0.4,0.2,89,0,5.3,
1171.02,Spinach/ Ombindi/ Derere/ Mutete/ Ekaka,WA_FCT,04_057,,0.28,,,"Spinach, raw",133.0,3.1,53,45.0,502,87,0.8,0.08,409,0,6040,0,2.31,0.08,0.17,0.9,0.19,176,0,36,
1172.02,Cabbage,WA_FCT,04_005,,0.2,,,"Cabbage, raw",41.0,0.6,12,37.0,317,12,0.2,0.02,8,0,100,0,[0.15],0.05,0.04,0.3,0.1,48,0,54,
1173.02,Beans (fresh),WA_FCT,04_003,,0.17,,,"Beans, green raw",47.0,1.1,25,56.0,242,2,0.27,0.08,24,0,286,0,0.28,0.1,0.1,0.7,0.2,62,0,17.5,
1173.03,Cucumber,WA_FCT,04_032,,0.19,,,"Cucumber, raw",13.0,0.5,12,26.0,134,10,0.17,0.07,3,0,35,0,0.03,0.02,0.01,0.3,0.04,6,0,14,
1173.04,Green pepper/ Paprika,WA_FCT,04_049,,0.17,,,"Pepper, sweet, green, raw",17.0,0.3,9,31.0,239,6,0.12,0.07,29,0,353,0,0.7,0.08,0.09,0.5,0.28,26,0,112.9,
1173.05,"Peppers, Chilli, raw",WA_FCT,04_046,,0.73,,,"Peppers, chilli, raw",16.0,1.1,24,43.0,331,8,0.29,0.15,53,0,640,0,[0.69],0.08,0.09,1.1,0.39,23,0,193.1,
1173.08,"Pumpkins baby marrows & squashes, all types",WA_FCT,04_051,,0.7,,,"Pumpkin, squash, raw",19.0,1.2,14,33.0,280,8,0.32,0.13,100,0,1200,0,[1.06],0.05,0.02,0.5,0.1,8,0,8,
1173.09,Tomatoes,WA_FCT,04_021,,0.09,,,"Tomato, red, ripe, raw",13.0,0.6,13,32.0,255,7,0.7,0.15,52,0,624,0,0.9,0.06,0.04,0.6,0.09,21,0,29.6,
