3.5 Consumption statistics for each food item by region,,,,,
,Average quantity as purchased (g/capita/day),Average edible quantity (g/capita/day),Average food consumption in monetary value (LCU/capita/day),Average dietary energy consumption (kcal/capita/day),Median dietary energy unit value (LCU/1000 kcal)
region,,,,,
,,,,,
!Karas,,,,,
01182.02  Jam,0.21,0.21,0.01,0.59,12.70
01183.01  Chocolate,0.10,0.10,0.01,0.54,22.56
01184.01  Sweets,0.38,0.38,0.02,1.52,20.04
01185.01  Ice cream,0.01,0.01,0.00,0.02,20.79
01186.99  Other sweeteners (specify),0.03,0.03,0.00,0.12,18.87
01191.01  Mayonnaise,0.23,0.23,0.01,1.64,4.00
01191.02  Tomato Sauces,1.03,1.03,0.02,1.31,18.42
01191.03  Vinegar,0.01,0.01,0.00,0.00,303.03
01191.05  Chutney,0.00,0.00,0.00,0.01,5.89
01191.08  Salad dressings,0.00,0.00,0.00,0.00,92.77
01192.01  Salt,1.61,1.61,0.15,0.00,
01192.02  Spices & condiments,0.17,0.17,0.03,0.59,102.77
01192.03  Garlic,0.01,0.01,0.00,0.01,88.78
01193.02  Yeast,0.00,0.00,0.00,0.00,127.02
"01193.05  Custards, puddings, jelly & gelatine",0.04,0.04,0.00,0.12,18.62
01193.06  Ready-made soup,0.27,0.27,0.01,0.16,14.47
01193.07  Powdered soup,1.15,1.15,0.17,3.13,60.58
01194.01  Ready-made frozen food,0.53,0.53,0.01,1.45,6.45
01195.99  Other foods (specify),3.06,3.06,0.06,13.57,4.29
01211.01  Coffee,0.27,0.27,0.03,0.94,67.18
01212.01  Tea,17.04,17.04,0.06,0.14,312.50
01213.01  Chocolate drinks,0.06,0.06,0.00,0.23,7.59
01219.99  Other infusions (specify),2.30,2.30,0.10,0.02,9444.44
01221.01  Mineral water & ice cubes blocks,0.89,0.89,0.01,0.00,
01222.01  Soft drinks,20.03,20.03,0.29,8.27,33.76
"01222.99  Other non-alcoholic drinks (Energade, Powerade) (specify)",0.04,0.04,0.00,0.01,18.17
01223.01  Fruit juice & squashes,14.91,14.91,0.31,6.50,46.49
01223.02  Mageu/Oshikundu,235.49,235.49,0.89,114.68,7.17
01223.99  Other powdered drinks (specify),0.40,0.40,0.01,0.17,58.85
02111.01  Brandies,0.00,0.00,0.00,0.01,36.66
"02111.04  Local home-made distilled drinks, all types (ombike, kashipembe)",0.05,0.05,0.01,0.02,360.24
02111.06  Whiskies,0.03,0.03,3.38,334.97,9.61
02121.01  Wines,0.38,0.38,0.03,0.14,200.54
02129.99  Other alcoholic beverages (specify),0.50,0.50,0.01,1.98,5.83
02131.01  Beer/ Ales/ Ciders,5.68,5.68,0.10,2.11,64.52
"02131.99  Local home-made brew, all types (tombo, epwaka, shafuluka)",4.08,4.08,0.02,1.31,16.41
"01124.02  Birds, other than chicken",0.01,0.01,0.00,0.02,19.42
"01132.01  Cray fish, all types",0.09,0.09,0.02,0.06,85.02
01143.01  Condensed milk,0.03,0.03,0.00,0.11,14.27
01155.02  Omaze ongombe,0.00,0.00,0.00,0.02,2.39
01165.05  Plums,0.01,0.01,0.00,0.01,37.03
01191.04  Chilli sauce,0.00,0.00,0.00,0.00,45.03
01193.03  Bottled baby food,0.02,0.02,0.00,0.02,64.36
02122.01  Sparkling wines/ Champagnes,0.18,0.18,0.01,0.74,10.00
02122.99  Marunga (palm wine made traditional way),0.22,0.22,0.00,0.87,3.11
01168.04  Omauni,0.04,0.03,0.00,0.01,13.86
01168.09  Omahuku,0.00,0.00,0.00,0.00,6.59
01169.01  Tinned fruits,0.05,0.05,0.00,0.04,44.04
01127.02  Dog,0.89,0.89,0.02,1.15,15.19
01168.02  Oombe,0.41,0.38,0.02,0.18,113.66
01168.14  Eenyandi,1.35,0.77,0.01,0.86,7.84
01132.03  Frogs,0.16,0.16,0.00,0.11,26.53
01168.11  Ekwa/ Mubuyu,0.01,0.01,0.00,0.02,2.30
,,,,,
Oshikoto,,,,,
01111.01  Rice,19.07,19.07,0.51,66.56,2.97
01111.02  Malt/ Mealie Rice,0.11,0.11,0.05,0.45,3.60
"01112.01  Bread (white, brown, whole wheat, rye, maize, etc.)",96.06,96.06,1.74,239.10,7.37
01112.02  Brotchen,0.13,0.13,0.02,0.33,46.95
"01112.03  Biscuits, rusks",0.18,0.18,0.01,0.48,14.99
01112.04  Vetkoek,1.36,1.36,0.01,3.60,2.52
"01112.09  Traditional bread, ash bread, oshikwiila, oshima, omungome",0.82,0.82,0.01,2.17,3.79
"01113.01  Macaroni, spaghetti, noodles",11.98,11.98,0.22,44.27,4.27
01114.01  Cakes (all types),0.78,0.78,0.06,2.61,25.37
01114.02  Pies & pizzas,0.09,0.09,0.01,0.43,11.95
01115.01  Breakfast cereals (all types),1.51,1.51,0.08,0.57,175.20
"01115.02  Baby foods, cereals",0.40,0.40,0.03,1.58,22.34
01115.03  Bread/ cake flour (all types),0.21,0.21,0.00,0.53,5.08
01115.04  Maize meal/ grain/ samp,110.89,110.89,1.53,382.01,3.36
01115.05  Mahangu meal/ grain/ samp,157.05,157.05,2.92,572.61,4.70
01115.06  Sorghum meal/ grain,1.04,1.04,0.06,3.56,8.62
01119.01  Other bread & cereals (specify),0.14,0.14,0.01,0.16,7.03
01121.01  Beef,44.56,44.56,2.48,104.98,26.61
01122.01  Pork,3.89,3.89,0.23,15.69,15.36
01123.01  Goat meat,8.24,6.10,0.27,10.77,22.96
01123.02  Mutton/ Lamb,0.34,0.25,0.03,0.83,33.52
01124.01  Chicken,12.91,12.91,0.48,17.40,25.92
01125.03  Biltong,0.03,0.03,0.00,0.03,137.89
"01125.04  Smoked meat, other than bacon & ham",0.04,0.04,0.00,0.10,18.50
01125.05  Polony,0.69,0.69,0.04,1.71,21.28
"01125.06  Sausages, other than polony",1.25,1.25,0.08,2.85,26.87
"01125.07  Offals, meat waste",0.83,0.83,0.02,0.68,27.03
01126.01  Minced meat,0.36,0.36,0.02,0.62,34.75
01126.02  Canned meat,0.21,0.21,0.01,0.51,24.74
01127.01  Game/ Iguana,0.93,0.93,0.05,1.06,43.97
01127.03  Donkey,0.34,0.34,0.01,0.43,15.26
"01128.01  Worms (omaungu, omanghandja, omaenghowa, murere,",0.04,0.04,0.04,0.04,41.32
01129.99  Other meat (specify),0.77,0.77,0.02,2.52,9.50
01131.01  Fresh fish,3.71,2.04,0.10,2.05,32.24
01131.02  Frozen fish,4.63,3.28,0.45,4.25,41.07
01133.01  Smoked fish,0.01,0.01,0.02,0.01,2236.47
01133.02  Kapenta/ Eentangu (fresh),0.02,0.01,0.00,0.01,178.23
01133.03  Dried fish,2.32,2.32,0.11,8.59,9.16
01134.01  Bottled/ Tinned fish,3.92,3.92,0.20,8.70,22.53
01141.01  Fresh milk,1.92,1.92,0.03,1.24,31.01
01141.99  Other dairy products (specify),0.19,0.19,0.00,0.17,28.27
01142.01  Fresh milk - Low fat,0.01,0.01,0.00,0.00,61.42
01142.02  Long life - Low fat,0.20,0.20,0.01,0.08,85.52
01143.02  Powdered milk,0.03,0.03,0.01,0.12,66.21
01143.03  Coffee creamer,0.03,0.03,0.00,0.10,9.45
01143.04  Baby milk powdered,0.35,0.35,0.02,1.80,7.94
01144.01  Clotted/ Cultured milk,4.72,4.72,0.12,3.59,35.22
01144.02  Yoghurt,0.57,0.57,0.02,0.42,41.11
01144.03  Traditional sour milk,4.55,4.55,0.05,2.17,20.20
"01145.01  Cheese, all types",0.02,0.02,0.00,0.06,27.18
01146.01  Cream,0.01,0.01,0.00,0.02,51.18
01147.01  Eggs,2.34,2.34,0.14,3.24,27.62
01151.01  Butter,0.15,0.15,0.03,1.08,33.96
01152.02  Peanut butter,0.01,0.01,0.00,0.08,8.83
"01152.99  Spreads, other (specify)",0.01,0.01,0.00,0.04,10.94
01154.01  Cooking oil,7.71,7.71,0.43,69.37,5.50
01154.02  Olive oil,0.03,0.03,0.00,0.25,6.63
01155.01  Cooking fats,0.08,0.08,0.00,0.74,3.11
01159.99  Other oils & fats (specify),0.05,0.05,0.00,0.45,7.81
"01161.01  Citrus fruits (orange, lemon, etc.)",1.63,1.19,0.03,0.54,61.02
01162.01  Bananas,0.83,0.53,0.02,0.53,26.71
01163.01  Apples,1.85,1.66,0.04,0.88,45.57
01164.01  Pears,0.08,0.08,0.00,0.05,42.55
01165.04  Mangoes,1.18,0.84,0.10,0.64,166.75
01165.06  Peaches,0.11,0.09,0.00,0.05,63.59
01166.04  Grapes/ Omandjebere (fresh),0.03,0.03,0.00,0.01,138.23
01166.05  Guavas,0.08,0.07,0.00,0.04,46.66
"01167.01  Sweet melons, all types",1.24,0.57,0.01,0.16,55.21
01167.02  Watermelons,21.55,9.91,0.34,2.82,50.85
01168.01  Eendunga/ Munganda,1.09,1.09,0.07,6.64,10.97
01168.03  Grapes/ Omandjebere (dry),0.10,0.09,0.01,0.05,121.56
01168.08  Ground nuts/ Eefukwa,1.39,1.39,0.03,8.04,3.46
01168.10  Peanuts & other snack nuts,0.01,0.01,0.00,0.07,12.27
"01168.99  Dried fruits, other",0.02,0.02,0.00,0.05,53.33
01169.99  Other fruits & nuts (specify),0.41,0.41,0.01,2.51,1.92
01171.01  Lettuce,0.01,0.01,0.00,0.00,821.02
01171.02  Spinach/ Ombindi/ Derere/ Mutete/ Ekaka,15.66,11.28,0.60,3.14,218.45
01171.99  Chives/ Grass onion,0.01,0.01,0.00,0.00,65.47
01172.02  Cabbage,3.21,2.56,0.05,0.70,45.79
01173.02  Beans (fresh),8.17,6.78,0.52,2.68,196.67
01173.03  Cucumber,0.01,0.01,0.00,0.00,213.33
01173.04  Green pepper/ Paprika,0.21,0.17,0.01,0.04,249.49
01173.05  Chilli,0.41,0.11,0.02,0.05,12709.36
01173.06  Mealie/ Corn cob,0.92,0.92,0.01,0.87,16.36
"01173.08  Pumpkins baby marrows & squashes, all types",9.39,2.82,0.13,0.80,150.19
01173.09  Tomatoes,4.34,3.95,0.08,0.86,114.15
01174.02  Beetroot,0.00,0.00,0.00,0.00,749.96
01174.03  Carrots,0.61,0.55,0.01,0.19,52.43
01174.06  Onion,4.47,4.07,0.06,1.48,37.96
01174.09  Mushroom,0.00,0.00,0.00,0.00,273.53
01175.01  Beans (dried),7.23,7.23,0.22,24.27,9.05
01175.03  Lentils,0.04,0.03,0.00,0.01,105.82
"01175.09  Dried vegetables, other",0.00,0.00,0.00,0.00,17.72
"01176.01  Tinned/ Pickled vegetables (e.g. cucumbers, onions, garlic, mixed)",0.27,0.27,0.01,0.03,294.85
"01177.01  Potatoes, English",12.39,10.41,0.19,8.29,21.36
01178.01  Sweet potatoes,0.18,0.15,0.00,0.17,16.48
01178.02  Chips & crisps,0.64,0.64,0.07,2.09,16.09
01178.05  Frozen vegetables,0.15,0.15,0.01,0.08,66.68
01179.08  Mixed vegetables,0.55,0.55,0.02,0.17,117.73
01179.99  Other vegetables & tubers (specify),0.81,0.81,0.01,2.30,4.79
01181.01  Sugar,7.42,7.42,0.23,29.67,7.39
01181.02  Sugar cane,0.06,0.06,0.00,0.02,47.30
01182.02  Jam,0.02,0.02,0.00,0.06,12.70
01183.01  Chocolate,0.01,0.01,0.00,0.04,22.56
01184.01  Sweets,0.28,0.28,0.01,1.13,4.25
01185.01  Ice cream,0.01,0.01,0.00,0.01,27.46
01186.99  Other sweeteners (specify),0.00,0.00,0.00,0.00,51.49
01191.01  Mayonnaise,0.15,0.15,0.00,1.09,4.00
01191.02  Tomato Sauces,0.41,0.41,0.01,0.52,18.42
01191.03  Vinegar,0.00,0.00,0.00,0.00,303.03
01191.08  Salad dressings,0.05,0.05,0.00,0.20,7.96
01191.10  Worcestershire sauce,0.00,0.00,0.00,0.00,102.13
01192.01  Salt,1.56,1.56,0.16,0.00,
01192.02  Spices & condiments,0.10,0.10,0.02,0.33,102.77
01192.03  Garlic,0.00,0.00,0.00,0.00,88.78
01193.02  Yeast,0.00,0.00,0.00,0.00,127.02
"01193.05  Custards, puddings, jelly & gelatine",0.01,0.01,0.00,0.04,22.85
01193.06  Ready-made soup,0.13,0.13,0.01,0.08,50.77
01193.07  Powdered soup,1.37,1.37,0.21,3.72,60.58
01195.99  Other foods (specify),2.00,2.00,0.04,8.85,12.54
01211.01  Coffee,0.20,0.20,0.03,0.72,38.70
01212.01  Tea,15.26,15.26,0.15,0.12,312.50
01213.01  Chocolate drinks,0.01,0.01,0.00,0.03,7.59
01219.99  Other infusions (specify),1.45,1.45,0.01,0.01,774.76
01221.01  Mineral water & ice cubes blocks,2.76,2.76,0.02,0.00,
01222.01  Soft drinks,13.32,13.32,0.19,5.50,33.76
"01222.99  Other non-alcoholic drinks (Energade, Powerade) (specify)",1.33,1.33,0.02,0.55,39.65
01223.01  Fruit juice & squashes,13.23,13.23,0.27,5.77,45.43
01223.02  Mageu/Oshikundu,295.71,295.71,1.04,144.01,7.17
01223.99  Other powdered drinks (specify),0.13,0.13,0.00,0.06,458.72
02111.01  Brandies,0.01,0.01,0.00,0.06,36.66
"02111.04  Local home-made distilled drinks, all types (ombike, kashipembe)",0.13,0.13,0.01,0.04,323.15
02111.06  Whiskies,0.00,0.00,1.33,140.27,8.63
02121.01  Wines,0.36,0.36,0.02,0.13,130.35
02129.99  Other alcoholic beverages (specify),0.05,0.05,0.00,0.20,7.65
02131.01  Beer/ Ales/ Ciders,1.66,1.66,0.03,0.62,64.52
"02131.99  Local home-made brew, all types (tombo, epwaka, shafuluka)",20.27,20.27,0.11,6.49,16.41
"01124.02  Birds, other than chicken",0.68,0.68,0.03,1.38,19.42
01155.02  Omaze ongombe,0.02,0.02,0.00,0.13,2.39
01191.04  Chilli sauce,0.01,0.01,0.00,0.01,45.03
02122.99  Marunga (palm wine made traditional way),0.74,0.74,0.01,2.95,3.13
01168.09  Omahuku,0.28,0.28,0.01,1.60,4.06
01169.01  Tinned fruits,0.01,0.01,0.00,0.01,44.04
01127.02  Dog,0.67,0.67,0.02,0.86,15.19
01168.02  Oombe,0.18,0.17,0.01,0.08,113.66
01127.04  Tortoise,0.04,0.04,0.00,0.05,2.29
01168.14  Eenyandi,0.09,0.05,0.00,0.06,24.83
01132.03  Frogs,1.12,1.12,0.36,0.77,26.53
,,,,,
Otjozondjupa,,,,,
01111.01  Rice,21.04,21.04,0.66,73.44,2.97
01111.02  Malt/ Mealie Rice,0.13,0.13,0.02,0.51,3.60
"01112.01  Bread (white, brown, whole wheat, rye, maize, etc.)",236.86,236.86,4.43,589.54,7.44
01112.02  Brotchen,0.74,0.74,0.09,1.95,46.95
"01112.03  Biscuits, rusks",0.92,0.92,0.03,2.42,10.44
01112.04  Vetkoek,6.30,6.30,0.04,16.64,2.52
"01112.09  Traditional bread, ash bread, oshikwiila, oshima, omungome",4.16,4.16,0.04,10.97,3.79
"01113.01  Macaroni, spaghetti, noodles",17.55,17.55,0.34,64.89,5.53
01114.01  Cakes (all types),1.63,1.63,0.12,5.47,22.78
01114.02  Pies & pizzas,0.09,0.09,0.01,0.45,11.95
01115.01  Breakfast cereals (all types),8.16,8.16,0.25,3.06,124.25
"01115.02  Baby foods, cereals",0.01,0.01,0.00,0.02,22.34
01115.03  Bread/ cake flour (all types),2.22,2.22,0.04,5.49,5.08
01115.04  Maize meal/ grain/ samp,131.19,131.19,1.58,451.95,3.36
01115.05  Mahangu meal/ grain/ samp,7.19,7.19,0.14,26.22,4.70
01115.06  Sorghum meal/ grain,0.01,0.01,0.00,0.05,21.68
01119.01  Other bread & cereals (specify),1.12,1.12,0.01,1.27,15.84
01121.01  Beef,51.38,51.38,2.49,121.06,26.61
01122.01  Pork,3.26,3.26,0.13,13.12,17.60
01123.01  Goat meat,9.55,7.07,0.29,12.48,22.96
01123.02  Mutton/ Lamb,2.75,2.06,0.22,6.81,33.52
01124.01  Chicken,22.56,22.56,0.80,30.39,25.92
01125.01  Bacon,0.18,0.18,0.03,0.72,42.83
01125.03  Biltong,0.71,0.71,0.10,0.89,137.89
"01125.04  Smoked meat, other than bacon & ham",0.37,0.37,0.02,0.85,18.50
01125.05  Polony,1.50,1.50,0.09,3.73,21.28
"01125.06  Sausages, other than polony",4.28,4.28,0.25,9.72,28.10
"01125.07  Offals, meat waste",6.21,6.21,0.10,5.07,17.93
01125.08  Liver & kidneys,0.90,0.90,0.04,1.19,32.97
01126.01  Minced meat,3.05,3.05,0.17,5.19,34.76
01126.02  Canned meat,0.74,0.74,0.04,1.80,24.74
01127.01  Game/ Iguana,21.87,21.87,1.04,24.84,43.97
01127.03  Donkey,0.67,0.67,0.01,0.87,15.26
"01128.01  Worms (omaungu, omanghandja, omaenghowa, murere,",0.14,0.14,0.01,0.13,41.32
01129.99  Other meat (specify),1.55,1.55,0.05,5.13,9.50
01131.01  Fresh fish,3.70,2.04,0.14,2.05,32.24
01131.02  Frozen fish,2.68,1.90,0.34,2.46,159.53
01133.01  Smoked fish,0.03,0.03,0.00,0.04,36.92
01133.03  Dried fish,0.21,0.21,0.02,0.78,19.80
01134.01  Bottled/ Tinned fish,2.89,2.89,0.14,6.42,22.53
01139.99  Other amphibians (specify),0.00,0.00,0.00,0.00,116.14
01141.01  Fresh milk,19.58,19.58,0.34,12.63,31.01
01141.02  Long life milk,1.05,1.05,0.02,0.68,40.14
01141.99  Other dairy products (specify),0.15,0.15,0.00,0.13,29.35
01142.01  Fresh milk - Low fat,0.06,0.06,0.00,0.03,217.02
01142.02  Long life - Low fat,0.04,0.04,0.00,0.01,85.52
01143.02  Powdered milk,0.10,0.10,0.01,0.36,38.85
01143.03  Coffee creamer,0.11,0.11,0.00,0.38,9.45
01143.04  Baby milk powdered,0.24,0.24,0.01,1.27,7.94
01144.01  Clotted/ Cultured milk,4.00,4.00,0.11,3.04,36.77
01144.02  Yoghurt,0.53,0.53,0.02,0.38,45.89
01144.03  Traditional sour milk,43.05,43.05,0.50,20.49,24.08
"01145.01  Cheese, all types",0.88,0.88,0.08,3.24,27.18
01146.01  Cream,0.03,0.03,0.00,0.04,51.18
01147.01  Eggs,4.67,4.67,0.18,6.46,27.62
01151.01  Butter,1.11,1.11,0.18,7.99,33.96
01152.01  Margarine & margarine spreads,0.26,0.26,0.01,1.86,4.93
01152.02  Peanut butter,0.10,0.10,0.01,0.58,8.83
"01152.99  Spreads, other (specify)",0.00,0.00,0.00,0.01,12.50
01154.01  Cooking oil,4.23,4.23,0.25,38.05,5.50
01154.02  Olive oil,0.01,0.01,0.00,0.11,6.63
01155.01  Cooking fats,0.02,0.02,0.00,0.22,3.11
01155.03  Komazam & sheep tail fat,0.01,0.01,0.00,0.10,6.70
01159.99  Other oils & fats (specify),0.04,0.04,0.00,0.36,7.81
"01161.01  Citrus fruits (orange, lemon, etc.)",2.19,1.60,0.04,0.72,37.00
01162.01  Bananas,1.75,1.12,0.03,1.12,26.71
01163.01  Apples,1.90,1.71,0.04,0.91,37.01
01164.01  Pears,0.12,0.12,0.00,0.07,34.33
01165.02  Avocados,0.01,0.00,0.00,0.01,144.40
01165.06  Peaches,0.06,0.05,0.00,0.02,63.59
01166.04  Grapes/ Omandjebere (fresh),0.16,0.16,0.01,0.05,138.23
01166.05  Guavas,0.10,0.08,0.00,0.04,23.14
"01167.01  Sweet melons, all types",0.31,0.14,0.01,0.04,298.37
01167.02  Watermelons,1.69,0.78,0.04,0.22,237.76
01167.03  Pineapples,0.01,0.01,0.00,0.00,115.04
01168.03  Grapes/ Omandjebere (dry),0.01,0.01,0.00,0.00,106.83
01168.08  Ground nuts/ Eefukwa,0.13,0.13,0.00,0.74,3.46
01168.10  Peanuts & other snack nuts,0.03,0.03,0.00,0.18,12.27
01169.08  Mixed fruits (fresh),0.49,0.49,0.01,0.37,33.15
01169.99  Other fruits & nuts (specify),0.93,0.93,0.01,5.70,1.62
01171.01  Lettuce,0.02,0.01,0.00,0.00,270.73
01171.02  Spinach/ Ombindi/ Derere/ Mutete/ Ekaka,3.54,2.55,0.12,0.71,207.95
01171.99  Chives/ Grass onion,0.07,0.07,0.00,0.02,36.16
01172.01  Broccoli,0.00,0.00,0.00,0.00,263.34
01172.02  Cabbage,3.97,3.18,0.05,0.87,45.79
01172.03  Cauliflower,0.06,0.06,0.00,0.02,139.92
01173.02  Beans (fresh),0.76,0.63,0.03,0.25,74.21
01173.03  Cucumber,0.18,0.15,0.00,0.02,213.33
01173.04  Green pepper/ Paprika,0.46,0.38,0.01,0.10,91.95
01173.05  Chilli,0.14,0.04,0.00,0.02,164.16
01173.06  Mealie/ Corn cob,0.63,0.63,0.01,0.59,16.36
01173.07  Peas,0.01,0.01,0.00,0.01,38.41
"01173.08  Pumpkins baby marrows & squashes, all types",1.88,0.56,0.03,0.16,150.19
01173.09  Tomatoes,6.23,5.67,0.09,1.24,69.53
01174.02  Beetroot,0.58,0.49,0.01,0.22,41.76
01174.03  Carrots,1.15,1.02,0.02,0.37,46.13
01174.06  Onion,6.97,6.34,0.09,2.31,36.13
01174.09  Mushroom,0.03,0.03,0.00,0.01,224.35
01175.01  Beans (dried),0.34,0.34,0.01,1.15,9.05
"01175.09  Dried vegetables, other",0.05,0.05,0.00,0.15,17.72
"01176.01  Tinned/ Pickled vegetables (e.g. cucumbers, onions, garlic, mixed)",0.74,0.74,0.02,0.07,294.85
"01177.01  Potatoes, English",14.41,12.10,0.17,9.65,14.72
01178.01  Sweet potatoes,1.07,0.90,0.02,1.03,14.47
01178.02  Chips & crisps,3.34,3.34,0.18,10.87,16.09
01178.05  Frozen vegetables,0.17,0.17,0.01,0.10,58.51
01179.08  Mixed vegetables,1.24,1.24,0.04,0.38,114.89
01179.99  Other vegetables & tubers (specify),0.31,0.31,0.00,0.88,4.79
01181.01  Sugar,18.41,18.41,0.50,73.62,7.39
01181.02  Sugar cane,0.00,0.00,0.00,0.00,47.30
01181.03  Icing sugar,0.01,0.01,0.00,0.06,10.42
01182.01  Honey,0.00,0.00,0.00,0.01,25.21
01182.02  Jam,0.14,0.14,0.00,0.37,12.70
01183.01  Chocolate,0.28,0.28,0.01,1.53,3.59
01184.01  Sweets,0.41,0.41,0.01,1.64,4.25
01185.01  Ice cream,0.18,0.18,0.01,0.27,20.79
01186.01  Syrup,0.00,0.00,0.00,0.01,23.53
01186.99  Other sweeteners (specify),0.10,0.10,0.01,0.40,4.28
01191.01  Mayonnaise,0.27,0.27,0.01,1.88,4.00
01191.02  Tomato Sauces,0.24,0.24,0.01,0.31,18.42
01191.03  Vinegar,0.01,0.01,0.00,0.00,303.03
01191.05  Chutney,0.01,0.01,0.00,0.04,2.05
01191.08  Salad dressings,0.27,0.27,0.01,1.02,11.79
01191.09  Soy sauce,0.02,0.02,0.00,0.01,96.17
01191.10  Worcestershire sauce,0.00,0.00,0.00,0.00,102.13
01192.01  Salt,1.00,1.00,0.10,0.00,
01192.02  Spices & condiments,0.24,0.24,0.06,0.83,102.77
01192.03  Garlic,0.01,0.01,0.00,0.01,88.78
01193.01  Baking powder,0.00,0.00,0.00,0.00,39.88
01193.02  Yeast,0.00,0.00,0.00,0.01,127.02
01193.04  Cake essences,0.01,0.01,0.00,0.02,3.57
"01193.05  Custards, puddings, jelly & gelatine",0.06,0.06,0.00,0.21,18.62
01193.06  Ready-made soup,0.24,0.24,0.01,0.15,14.47
01193.07  Powdered soup,1.10,1.10,0.15,2.97,60.58
01194.01  Ready-made frozen food,0.16,0.16,0.00,0.43,20.00
01195.99  Other foods (specify),0.36,0.36,0.01,1.59,4.29
01211.01  Coffee,0.90,0.90,0.10,3.19,35.75
01212.01  Tea,35.12,35.12,0.26,0.28,312.50
01213.01  Chocolate drinks,0.04,0.04,0.00,0.16,7.59
01219.99  Other infusions (specify),0.70,0.70,0.02,0.01,2500.00
01221.01  Mineral water & ice cubes blocks,2.12,2.12,0.02,0.00,
01222.01  Soft drinks,24.91,24.91,0.34,10.28,33.76
"01222.99  Other non-alcoholic drinks (Energade, Powerade) (specify)",0.08,0.08,0.00,0.03,72.63
01223.01  Fruit juice & squashes,11.97,11.97,0.31,5.22,48.60
01223.02  Mageu/Oshikundu,32.23,32.23,0.12,15.70,7.17
01223.99  Other powdered drinks (specify),0.06,0.06,0.00,0.03,458.72
02111.01  Brandies,0.00,0.00,0.00,0.02,36.66
"02111.04  Local home-made distilled drinks, all types (ombike, kashipembe)",0.17,0.17,0.02,0.05,360.24
02111.06  Whiskies,0.00,0.00,2.59,232.70,10.57
02121.01  Wines,0.56,0.56,0.04,0.20,130.35
02129.99  Other alcoholic beverages (specify),0.11,0.11,0.00,0.44,7.65
02131.01  Beer/ Ales/ Ciders,3.82,3.82,0.04,1.42,64.52
"02131.99  Local home-made brew, all types (tombo, epwaka, shafuluka)",0.73,0.73,0.00,0.23,16.41
"01124.02  Birds, other than chicken",0.11,0.11,0.00,0.23,19.42
"01132.01  Cray fish, all types",0.02,0.02,0.00,0.01,85.02
01143.01  Condensed milk,0.00,0.00,0.00,0.00,14.27
01155.02  Omaze ongombe,0.03,0.03,0.00,0.19,2.39
01165.05  Plums,0.00,0.00,0.00,0.00,37.03
01175.02  Peas (dried),0.04,0.04,0.00,0.13,9.09
01191.04  Chilli sauce,0.01,0.01,0.00,0.01,45.03
01191.07  Mustard sauce,0.01,0.01,0.00,0.01,43.93
02111.03  White spirits,0.03,0.03,0.00,0.12,15.00
02122.01  Sparkling wines/ Champagnes,0.02,0.02,0.00,0.07,10.00
01168.04  Omauni,0.57,0.42,0.00,0.19,13.86
01169.01  Tinned fruits,0.05,0.05,0.00,0.04,44.04
01127.02  Dog,0.04,0.04,0.00,0.05,15.19
"01132.02  Snails, crabs",0.11,0.11,0.01,0.12,55.08
01168.02  Oombe,0.04,0.04,0.00,0.02,113.66
01174.08  Turnip,0.00,0.00,0.00,0.00,13.47
01167.99  Passion fruit,0.10,0.05,0.00,0.04,25.68
,,,,,
Zambezi,,,,,
01111.01  Rice,21.43,21.43,0.27,74.79,2.97
01111.02  Malt/ Mealie Rice,0.22,0.22,0.18,0.85,1301.75
"01112.01  Bread (white, brown, whole wheat, rye, maize, etc.)",68.45,68.45,1.24,170.37,7.44
01112.02  Brotchen,0.41,0.41,0.05,1.08,46.95
"01112.03  Biscuits, rusks",0.50,0.50,0.01,1.31,14.99
01112.04  Vetkoek,5.06,5.06,0.03,13.38,2.52
"01113.01  Macaroni, spaghetti, noodles",6.83,6.83,0.12,25.25,4.27
01114.01  Cakes (all types),0.39,0.39,0.02,1.30,8.88
01114.02  Pies & pizzas,0.03,0.03,0.00,0.13,10.14
01115.01  Breakfast cereals (all types),1.56,1.56,0.05,0.58,124.25
"01115.02  Baby foods, cereals",0.18,0.18,0.02,0.72,25.70
01115.03  Bread/ cake flour (all types),0.52,0.52,0.01,1.28,5.08
01115.04  Maize meal/ grain/ samp,337.88,337.88,3.93,1164.00,3.36
01115.05  Mahangu meal/ grain/ samp,10.34,10.34,0.18,37.69,4.70
01115.06  Sorghum meal/ grain,3.11,3.11,0.21,10.68,8.62
01119.01  Other bread & cereals (specify),0.68,0.68,0.01,0.77,7.03
01121.01  Beef,72.75,72.75,3.12,171.39,26.61
01122.01  Pork,2.50,2.50,0.15,10.06,17.60
01123.01  Goat meat,1.37,1.01,0.04,1.79,22.96
01124.01  Chicken,37.36,37.36,1.30,50.32,25.76
01125.01  Bacon,0.15,0.15,0.01,0.62,9.43
01125.03  Biltong,0.13,0.13,0.02,0.16,148.56
01125.05  Polony,0.14,0.14,0.01,0.35,20.76
"01125.06  Sausages, other than polony",1.90,1.90,0.12,4.32,28.10
01125.08  Liver & kidneys,0.27,0.27,0.01,0.36,32.97
01126.01  Minced meat,0.33,0.33,0.02,0.56,29.34
01126.02  Canned meat,0.05,0.05,0.00,0.13,24.74
01127.01  Game/ Iguana,1.74,1.74,0.07,1.98,43.97
01129.99  Other meat (specify),3.01,3.01,0.09,9.92,9.50
01131.01  Fresh fish,43.20,23.76,2.59,23.92,134.03
