3.5 Consumption statistics for each food item by region,,,,,
,Average quantity as purchased (g/capita/day),Average edible quantity (g/capita/day),Average food consumption in monetary value (LCU/capita/day),Average dietary energy consumption (kcal/capita/day),Median dietary energy unit value (LCU/1000 kcal)
region,,,,,
,,,,,
!Karas,,,,,
01111.01  Rice,17.68,17.68,0.24,61.70,2.97
"01112.01  Bread (white, brown, whole wheat, rye, maize, etc.)",301.55,301.55,5.58,750.56,7.44
01112.02  Brotchen,0.51,0.51,0.05,1.36,46.95
"01112.03  Biscuits, rusks",1.60,1.60,0.08,4.23,10.26
01112.04  Vetkoek,3.24,3.24,0.02,8.55,2.52
"01112.09  Traditional bread, ash bread, oshikwiila, oshima, omungome",43.53,43.53,0.43,114.96,3.79
"01113.01  Macaroni, spaghetti, noodles",18.02,18.02,0.36,66.60,6.49
01114.01  Cakes (all types),1.24,1.24,0.09,4.15,22.78
01114.02  Pies & pizzas,0.80,0.80,0.05,4.01,11.95
01115.01  Breakfast cereals (all types),27.66,27.66,0.71,10.38,124.25
"01115.02  Baby foods, cereals",0.01,0.01,0.00,0.06,22.34
01115.03  Bread/ cake flour (all types),13.40,13.40,0.19,33.15,5.08
01115.04  Maize meal/ grain/ samp,51.82,51.82,0.64,178.53,3.36
01115.05  Mahangu meal/ grain/ samp,0.59,0.59,0.01,2.16,4.70
01119.01  Other bread & cereals (specify),6.43,6.43,0.05,7.31,7.03
01121.01  Beef,29.53,29.53,0.97,69.57,26.61
01122.01  Pork,7.50,7.50,0.29,30.22,17.60
01123.01  Goat meat,16.33,12.08,0.49,21.34,22.96
01123.02  Mutton/ Lamb,50.51,37.88,3.20,125.00,27.89
01124.01  Chicken,37.22,37.22,1.30,50.14,25.92
01125.01  Bacon,0.95,0.95,0.05,3.84,9.43
01125.02  Ham,0.05,0.05,0.00,0.08,85.47
01125.03  Biltong,0.47,0.47,0.06,0.59,137.89
"01125.04  Smoked meat, other than bacon & ham",0.24,0.24,0.01,0.53,18.50
01125.05  Polony,2.42,2.42,0.13,6.03,20.76
"01125.06  Sausages, other than polony",9.90,9.90,0.58,22.48,26.87
"01125.07  Offals, meat waste",10.23,10.23,0.16,8.36,17.93
01125.08  Liver & kidneys,1.73,1.73,0.06,2.30,32.97
01126.01  Minced meat,8.86,8.86,0.52,15.09,34.76
01126.02  Canned meat,0.90,0.90,0.05,2.18,24.74
01127.01  Game/ Iguana,10.87,10.87,0.39,12.36,43.97
01127.03  Donkey,2.13,2.13,0.04,2.74,15.26
01129.99  Other meat (specify),6.45,6.45,0.21,21.28,9.50
01131.01  Fresh fish,3.84,2.11,0.20,2.12,54.51
01131.02  Frozen fish,0.84,0.60,0.07,0.77,159.53
01133.01  Smoked fish,0.08,0.08,0.01,0.09,36.92
01133.03  Dried fish,0.08,0.08,0.01,0.28,27.61
01134.01  Bottled/ Tinned fish,1.64,1.64,0.08,3.63,22.53
01139.99  Other amphibians (specify),0.22,0.22,0.02,0.15,116.14
01141.01  Fresh milk,26.64,26.64,0.48,17.19,31.01
01141.02  Long life milk,4.95,4.95,0.09,3.19,27.79
01141.99  Other dairy products (specify),1.09,1.09,0.03,0.96,29.35
01142.01  Fresh milk - Low fat,0.00,0.00,0.00,0.00,58.61
01142.02  Long life - Low fat,0.15,0.15,0.00,0.06,85.52
01143.02  Powdered milk,0.06,0.06,0.01,0.22,66.21
01143.03  Coffee creamer,0.07,0.07,0.00,0.26,9.45
01143.04  Baby milk powdered,0.57,0.57,0.02,2.94,7.94
01144.01  Clotted/ Cultured milk,0.96,0.96,0.02,0.73,34.48
01144.02  Yoghurt,0.63,0.63,0.02,0.46,45.89
01144.03  Traditional sour milk,6.44,6.44,0.08,3.07,26.26
"01145.01  Cheese, all types",2.51,2.51,0.21,9.22,22.22
01147.01  Eggs,6.45,6.45,0.25,8.92,27.62
01151.01  Butter,2.07,2.07,0.40,14.91,33.96
01152.01  Margarine & margarine spreads,0.07,0.07,0.00,0.50,4.93
01152.02  Peanut butter,0.09,0.09,0.00,0.50,8.83
