hhid,Total,start_date,urbrur,region,sex_of_head,age_of_head_cat,attain,apci_dec,main_language,wgt_hh,q02_58_01,q02_58_02,q02_58_04,q02_58_13,q02_58_15,q02_59_01,q02_59_02,q02_59_04,q02_59_13,q02_59_15,q02_60_01,q02_60_02,q02_60_04,q02_60_13,q02_60_15,q07_02_1,q07_02_2,q07_02_3,q07_02_4,q07_02_6,crops_possessed_1,crops_possessed_2,crops_possessed_3,crops_possessed_4,crops_possessed_6,q07_04_1,q07_04_2,q07_04_3,q07_04_4,q07_04_6,crops_given_away_1,crops_given_away_2,crops_given_away_3,crops_given_away_4,crops_given_away_6,crops_sold_1,crops_sold_2,crops_sold_3,crops_sold_4,crops_sold_6,q07_08_3
0501025A00701                          ,Total,2015-04-29,Rural,Kavango West,Male,18-59,Primary,9,Rukavango,43.9202435630617,0,1,0,0,0,,7.0,,,,,bought_using_cash,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0501025A00202                          ,Total,2015-04-29,Rural,Kavango West,Female,18-59,No formal education,4,Rukavango,28.0641985498178,1,0,0,0,0,7.0,,,,,bought_on_credit,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0508010B02301                          ,Total,2015-04-29,Rural,Kavango West,Male,18-59,No formal education,1,Rukavango,17.1714004879848,0,0,0,0,0,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0508010B01901                          ,Total,2015-04-29,Rural,Kavango West,Male,18-59,Secondary,9,Rukavango,24.6843387582404,0,0,0,1,0,,,,7.0,,,,,bought_using_cash,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0508010B01201                          ,Total,2015-04-29,Rural,Kavango West,Male,18-59,No formal education,3,Rukavango,29.2796829382492,1,0,1,0,0,4.0,,1.0,,,bought_using_cash,,bought_using_cash,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0501025A03201                          ,Total,2015-04-29,Rural,Kavango West,Male,18-59,,8,Rukavango,50.653660735811904,1,0,1,1,1,3.0,,7.0,7.0,3.0,bought_using_cash,,gifts_friends__neighbours__relatives,bought_using_cash,bought_using_cash,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
0508010B00602                          ,Total,2015-04-29,Rural,Kavango West,Male,18-59,Secondary,2,Rukavango,45.567141906440895,0,0,0,0,0,,,,,,,,,,,1,1,0,0,0.0,25.0,150.0,,,,25.0,150.0,,,,0.0,0.0,,,,0.0,0.0,,,,0
1108045B06001                          ,Total,2015-04-29,Urban,Oshana,Male,18-59,Secondary,9,Oshiwambo,67.7862864255195,1,1,1,1,1,7.0,7.0,3.0,7.0,7.0,bought_using_cash,gifts_friends__neighbours__relatives,bought_using_cash,bought_using_cash,bought_using_cash,1,0,0,0,0.0,50.0,,,,,50.0,,,,,0.0,,,,,0.0,,,,,0
0501025B01501                          ,Total,2015-04-29,Rural,Kavango West,Male,18-59,Primary,4,Rukavango,19.954729296861103,0,0,0,1,0,,,,1.0,,,,,bought_using_cash,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0
1108077B00201                          ,Total,2015-04-29,Rural,Oshana,Male,60+,No formal education,8,Oshiwambo,32.140058574375,1,0,1,0,0,3.0,,7.0,,,bought_using_cash,,bought_using_cash,,,1,1,1,0,0.0,2000.0,2000.0,1200.0,,,2000.0,1500.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0
