index,hh_wheat_rice_both,hh_wheat_rice_both,hh_wheat_rice_at_least_one,hh_wheat_rice_neither,hh_source_wheat_rice_not_loc_both,hh_source_wheat_rice_not_loc_at_least_one,hh_source_wheat_rice_not_loc_neither,hh_oil_yn,hh_source_oil_not_loc_yn,hh_maize_prod_cons_yn,hh_mahangu_prod_cons_yn,hh_sorghum_prod_cons_yn,maize_gap,mahangu_gap,sorghum_gap,hh_wheat_other_both,hh_wheat_other_at_least_one,hh_wheat_other_neither
,group_wa9,count,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9,group_wa9
0-18,0.15122723562238335,37,0.4566424173130975,0.3921303470645193,0.08598975488814693,0.35246510208137705,0.5615451430304761,0.6220185981725957,0.4216490334735578,0.05776238409419021,0.24004644363148783,0.01985983035720727,6.876388732439729,11.069452976294604,0.0,0.3109109938277789,0.5837104406831036,0.10537856548911745
18-59,0.48212019914820875,7809,0.2947884748845959,0.22309132596719528,0.4572216243080969,0.29112333285792896,0.2516550428339742,0.8286448792042419,0.7999889280037071,0.0478093400392044,0.15172759285075235,0.04251626309638051,22.17234073392042,121.42059694609038,14.12896980378082,0.5816719955337885,0.3729103665020339,0.04541763796417761
60+,0.36088212810602843,2244,0.32042809291527125,0.3186897789787002,0.3183808690810315,0.3246162011980573,0.35700292972091124,0.8147722438747798,0.7717626524616685,0.10149213732137316,0.4737425670334985,0.14663021388394756,150.2861944912909,123.46327033522519,16.967287958962142,0.5042980516498965,0.43586445760455983,0.05983749074554363
No formal education,0.20697698311823098,1905,0.31993144654426625,0.47309157033750276,0.18062260778286987,0.29475133416118343,0.5246260580559468,0.7235743016242565,0.6714241554920338,0.08338873797982783,0.3304666624988483,0.09724695124593348,9.20240699377371,125.54068484597315,14.276829847319151,0.3756750817383883,0.5607819640717201,0.06354295418989156
Not stated,0.3412205045952102,55,0.33609184854377583,0.3226876468610138,0.3083774456890462,0.36893490744993984,0.3226876468610138,0.852950899387918,0.852950899387918,0.024757892786168797,0.21490259872216844,0.07002593491230008,0.0,42.73732444706851,0.0,0.4635525875768687,0.5186169021049651,0.017830510318166133
Primary,0.3272574321772712,2725,0.33017814231844245,0.34256442550428623,0.29022983200794034,0.32502679532560136,0.3847433726664582,0.7951244664334777,0.7491276087096833,0.08912288042763679,0.35074065649676617,0.10384512400460745,139.26495611530308,105.01481137888285,11.448667304834192,0.4982489374715025,0.4448780667902768,0.05687299573822056
Secondary,0.5396655712976882,4170,0.3021472656134845,0.1581871630888273,0.5132443956984453,0.3032030518282844,0.18355255247327035,0.8642527371048712,0.8412828039275756,0.04401224367517554,0.1384270511265329,0.041105690734215126,28.076615338635374,122.78816708847688,16.55966319313187,0.6360542140004692,0.32365395637365774,0.04029182962587296
Tertiary,0.7151034166379522,946,0.22077863665955252,0.06411794670249521,0.6951303749900338,0.23628328675508337,0.06858633825488275,0.8692461702699453,0.8649386087486801,0.01898434924838003,0.07551328519912297,0.01536070243947968,16.825548225216526,288.30675455891196,48.68592156536882,0.6866585037910213,0.26955345169502504,0.04378804451395359
1,0.137723535528494,675,0.2846260563416341,0.577650408129872,0.10741314974883681,0.2721688780335164,0.6204179722176467,0.6460594318775523,0.590282899435456,0.10912844551976358,0.24658767585864647,0.05605810820531345,14.933249666919078,49.27913301385373,7.14228381839358,0.31182194582195355,0.638931165806328,0.04924688837171843
2,0.24080261137638642,765,0.3102814665319834,0.44891592209163017,0.21023150132156532,0.2938514651588975,0.49591703351953725,0.7726734868443104,0.7160634303877443,0.09479212820803914,0.3292084321457539,0.09362067474744644,3.964618032087493,79.11152483497833,17.38501043044843,0.42715776925348475,0.5072220777062206,0.06562015304029471
